Test Case Number,Inputs,,,Exp Out,Basis Path,MCDC,,
,landing,speed (mph),altitude (ft.),return,,,,
1,TRUE,500.1,"4,999.9",engageRetro,7-8-9-10-11-19 ,stmt 11 TTT,,#REF!
2,FALSE,500.1,"4,999.9",disengageRetro,7-18-19 ,,,#REF!
3,TRUE,150.0,"2,499.9",deployPods,7-8-13-14-15-16-19 ,stmt 16 TTT,,#REF!
4,TRUE,500.1,"2,499.9",orbit,7-8-9-19 ,stmt 11 TFT,,#REF!
5,TRUE,149.9,"2,499.9",orbit,7-8-13-19 ,stmt 16 FTT,,#REF!
6,TRUE,500.1,"5,000.0",orbit,7-8-9-10-19 ,stmt 11 TTF,,#REF!
7,TRUE,150.0,"1,000.0",orbit,7-8-13-14-19 ,stmt 16 TFT,,#REF!
8,TRUE,150.0,"2,500.0",orbit,7-8-13-14-15-19 ,stmt 16 TTF,,#REF!
9,TRUE,500.0,"4,999.9",orbit,-,stmt 11 FTT,,#REF!
10,TRUE,500.1,"2,500.0",engageRetro,-,,,#REF!
11,TRUE,150.0,"1,000.1",deployPods,-,,,#REF!
12,TRUE,200.0,"10,000.0",orbit,extreme range altitude,,,#REF!
13,TRUE,200.0,0.0,orbit,extreme range altitude,,,#REF!
14,TRUE,"1,000.0","5,000.1",orbit,extreme range speed,,,#REF!
15,TRUE,0.0,"5,000.1",orbit,extreme range speed,,,#REF!
,,,,,,,,
,- indicates a don't care where ANY value can be used,,,,,,,
Test cases 9-15 can be in any order,,,,,,,,
